MAIN_GENRE,AVG_SCORE
western,8.600000000000001
reality,8.45
documentary,8.357142857142858
animation,8.174999999999999
scifi,8.115555555555561
drama,8.113414634146343
action,8.085714285714287
comedy,8.069767441860465
crime,7.984999999999999
war,7.875
thriller,7.85
romance,7.7
